gender,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1
0,27.0,16.67,16.67,16.67,16.67,16.67,16.67,23.26,16.28,16.28,16.28,11.63,16.28
0,27.0,16.67,16.67,16.67,16.67,16.67,16.67,23.26,16.28,16.28,16.28,11.63,16.28
0,27.0,16.67,16.67,16.67,16.67,16.67,16.67,23.26,16.28,16.28,16.28,11.63,16.28
0,27.0,16.67,16.67,16.67,16.67,16.67,16.67,23.26,16.28,16.28,16.28,11.63,16.28
0,27.0,16.67,16.67,16.67,16.67,16.67,16.67,23.26,16.28,16.28,16.28,11.63,16.28
0,24.0,12.77,19.15,17.02,17.02,14.89,19.15,17.07,17.07,17.07,17.07,14.63,17.07
0,24.0,12.77,19.15,17.02,17.02,14.89,19.15,17.07,17.07,17.07,17.07,14.63,17.07
0,24.0,12.77,19.15,17.02,17.02,14.89,19.15,17.07,17.07,17.07,17.07,14.63,17.07
0,24.0,12.77,19.15,17.02,17.02,14.89,19.15,17.07,17.07,17.07,17.07,14.63,17.07
0,24.0,12.77,19.15,17.02,17.02,14.89,19.15,17.07,17.07,17.07,17.07,14.63,17.07
0,23.0,6.67,20.0,20.0,17.78,20.0,15.56,13.64,20.45,20.45,15.91,15.91,13.64
0,23.0,6.67,20.0,20.0,17.78,20.0,15.56,13.64,20.45,20.45,15.91,15.91,13.64
0,23.0,6.67,20.0,20.0,17.78,20.0,15.56,13.64,20.45,20.45,15.91,15.91,13.64
0,23.0,6.67,20.0,20.0,17.78,20.0,15.56,13.64,20.45,20.45,15.91,15.91,13.64
0,23.0,6.67,20.0,20.0,17.78,20.0,15.56,13.64,20.45,20.45,15.91,15.91,13.64
0,26.0,18.18,22.73,18.18,13.64,13.64,13.64,16.33,16.33,16.33,18.37,18.37,14.29
0,26.0,18.18,22.73,18.18,13.64,13.64,13.64,16.33,16.33,16.33,18.37,18.37,14.29
